drugA	drugB	drugA_for_disease	drugB_for_disease	drugcomb	adv/app
DB00086	DB06403	False	True	('DB00086', 'DB06403')	1
DB00086	DB06762	False	True	('DB00086', 'DB06762')	1
DB00086	DB08932	False	True	('DB00086', 'DB08932')	1
DB00086	DB09206	False	True	('DB00086', 'DB09206')	1
DB00086	DB09363	False	True	('DB00086', 'DB09363')	1
DB00086	DB11738	False	True	('DB00086', 'DB11738')	1
DB00086	DB12661	False	True	('DB00086', 'DB12661')	1
DB00086	DB12945	False	True	('DB00086', 'DB12945')	1
DB00086	DB13211	False	True	('DB00086', 'DB13211')	1
DB00086	DB13410	False	True	('DB00086', 'DB13410')	1
DB00086	DB13429	False	True	('DB00086', 'DB13429')	1
DB00086	DB13435	False	True	('DB00086', 'DB13435')	1
DB00086	DB13452	False	True	('DB00086', 'DB13452')	1
DB00086	DB13575	False	True	('DB00086', 'DB13575')	1
DB00086	DB13604	False	True	('DB00086', 'DB13604')	1
DB00086	DB13631	False	True	('DB00086', 'DB13631')	1
DB00086	DB13779	False	True	('DB00086', 'DB13779')	1
DB00091	DB06403	False	True	('DB00091', 'DB06403')	1
DB00091	DB00559	False	True	('DB00091', 'DB00559')	1
DB00091	DB00765	False	True	('DB00091', 'DB00765')	1
DB00091	DB01089	False	True	('DB00091', 'DB01089')	1
DB00091	DB09206	False	True	('DB00091', 'DB09206')	1
DB00091	DB09363	False	True	('DB00091', 'DB09363')	1
DB00091	DB12945	False	True	('DB00091', 'DB12945')	1
DB00091	DB13211	False	True	('DB00091', 'DB13211')	1
DB00091	DB13410	False	True	('DB00091', 'DB13410')	1
DB00091	DB13429	False	True	('DB00091', 'DB13429')	1
DB00091	DB13435	False	True	('DB00091', 'DB13435')	1
DB00091	DB13452	False	True	('DB00091', 'DB13452')	1
DB00091	DB13575	False	True	('DB00091', 'DB13575')	1
DB00091	DB13604	False	True	('DB00091', 'DB13604')	1
DB00091	DB13631	False	True	('DB00091', 'DB13631')	1
DB00091	DB13779	False	True	('DB00091', 'DB13779')	1
DB00091	DB00217	False	True	('DB00091', 'DB00217')	1
DB00091	DB01626	False	True	('DB00091', 'DB01626')	1
DB00091	DB09242	False	True	('DB00091', 'DB09242')	1
DB00091	DB11738	False	True	('DB00091', 'DB11738')	1
DB00091	DB12661	False	True	('DB00091', 'DB12661')	1
DB00091	DB00350	False	True	('DB00091', 'DB00350')	1
DB00091	DB01119	False	True	('DB00091', 'DB01119')	1
DB00091	DB00590	False	True	('DB00091', 'DB00590')	1
DB00091	DB00575	False	True	('DB00091', 'DB00575')	1
DB00091	DB04840	False	True	('DB00091', 'DB04840')	1
DB00091	DB01180	False	True	('DB00091', 'DB01180')	1
DB00091	DB08931	False	True	('DB00091', 'DB08931')	1
DB00091	DB00457	False	True	('DB00091', 'DB00457')	1
DB00091	DB00657	False	True	('DB00091', 'DB00657')	1
DB00091	DB01116	False	True	('DB00091', 'DB01116')	1
DB00091	DB00325	False	True	('DB00091', 'DB00325')	1
DB00091	DB01170	False	True	('DB00091', 'DB01170')	1
DB00091	DB00968	False	True	('DB00091', 'DB00968')	1
DB00091	DB01275	False	True	('DB00091', 'DB01275')	1
DB00091	DB00820	False	True	('DB00091', 'DB00820')	1
DB00091	DB01018	False	True	('DB00091', 'DB01018')	1
DB00091	DB06762	False	True	('DB00091', 'DB06762')	1
DB00091	DB08932	False	True	('DB00091', 'DB08932')	1
DB00104	DB00590	False	True	('DB00104', 'DB00590')	1
DB00104	DB00968	False	True	('DB00104', 'DB00968')	1
DB00104	DB01018	False	True	('DB00104', 'DB01018')	1
DB00104	DB00575	False	True	('DB00104', 'DB00575')	1
DB00105	DB12945	False	True	('DB00105', 'DB12945')	1
DB00105	DB00575	False	True	('DB00105', 'DB00575')	1
DB00115	DB00325	False	True	('DB00115', 'DB00325')	1
DB00115	DB00657	False	True	('DB00115', 'DB00657')	1
DB00115	DB00820	False	True	('DB00115', 'DB00820')	1
DB00115	DB00968	False	True	('DB00115', 'DB00968')	1
DB00115	DB01018	False	True	('DB00115', 'DB01018')	1
DB00115	DB01170	False	True	('DB00115', 'DB01170')	1
DB00115	DB01275	False	True	('DB00115', 'DB01275')	1
DB00115	DB08932	False	True	('DB00115', 'DB08932')	1
DB00122	DB00457	False	True	('DB00122', 'DB00457')	1
DB00122	DB00590	False	True	('DB00122', 'DB00590')	1
DB00122	DB01018	False	True	('DB00122', 'DB01018')	1
DB00126	DB00657	False	True	('DB00126', 'DB00657')	1
DB00127	DB00457	False	True	('DB00127', 'DB00457')	1
DB00127	DB00590	False	True	('DB00127', 'DB00590')	1
DB00127	DB01018	False	True	('DB00127', 'DB01018')	1
DB00136	DB00590	False	True	('DB00136', 'DB00590')	1
DB00136	DB00575	False	True	('DB00136', 'DB00575')	1
DB00150	DB00765	False	True	('DB00150', 'DB00765')	1
DB00150	DB01626	False	True	('DB00150', 'DB01626')	1
DB00150	DB01018	False	True	('DB00150', 'DB01018')	1
DB00150	DB12661	False	True	('DB00150', 'DB12661')	1
DB00150	DB00575	False	True	('DB00150', 'DB00575')	1
DB00152	DB00457	False	True	('DB00152', 'DB00457')	1
DB00152	DB00590	False	True	('DB00152', 'DB00590')	1
DB00152	DB01018	False	True	('DB00152', 'DB01018')	1
DB00158	DB00325	False	True	('DB00158', 'DB00325')	1
DB00158	DB00657	False	True	('DB00158', 'DB00657')	1
DB00158	DB00820	False	True	('DB00158', 'DB00820')	1
DB00158	DB00968	False	True	('DB00158', 'DB00968')	1
DB00158	DB01018	False	True	('DB00158', 'DB01018')	1
DB00158	DB01170	False	True	('DB00158', 'DB01170')	1
DB00158	DB01275	False	True	('DB00158', 'DB01275')	1
DB00158	DB08932	False	True	('DB00158', 'DB08932')	1
DB00159	DB01275	False	True	('DB00159', 'DB01275')	1
DB00159	DB01180	False	True	('DB00159', 'DB01180')	1
DB00159	DB00217	False	True	('DB00159', 'DB00217')	1
DB00159	DB00325	False	True	('DB00159', 'DB00325')	1
DB00159	DB00350	False	True	('DB00159', 'DB00350')	1
DB00159	DB00457	False	True	('DB00159', 'DB00457')	1
DB00159	DB00559	False	True	('DB00159', 'DB00559')	1
DB00159	DB00575	False	True	('DB00159', 'DB00575')	1
DB00159	DB00590	False	True	('DB00159', 'DB00590')	1
DB00159	DB00657	False	True	('DB00159', 'DB00657')	1
DB00159	DB00765	False	True	('DB00159', 'DB00765')	1
DB00159	DB00968	False	True	('DB00159', 'DB00968')	1
DB00159	DB01018	False	True	('DB00159', 'DB01018')	1
DB00159	DB01089	False	True	('DB00159', 'DB01089')	1
DB00159	DB01116	False	True	('DB00159', 'DB01116')	1
DB00159	DB01119	False	True	('DB00159', 'DB01119')	1
DB00159	DB01170	False	True	('DB00159', 'DB01170')	1
DB00159	DB01626	False	True	('DB00159', 'DB01626')	1
DB00159	DB04840	False	True	('DB00159', 'DB04840')	1
DB00159	DB06403	False	True	('DB00159', 'DB06403')	1
DB00159	DB06762	False	True	('DB00159', 'DB06762')	1
DB00159	DB08931	False	True	('DB00159', 'DB08931')	1
DB00159	DB08932	False	True	('DB00159', 'DB08932')	1
DB00159	DB09206	False	True	('DB00159', 'DB09206')	1
DB00159	DB09242	False	True	('DB00159', 'DB09242')	1
DB00159	DB09363	False	True	('DB00159', 'DB09363')	1
DB00159	DB11738	False	True	('DB00159', 'DB11738')	1
DB00159	DB12661	False	True	('DB00159', 'DB12661')	1
DB00159	DB12945	False	True	('DB00159', 'DB12945')	1
DB00159	DB13211	False	True	('DB00159', 'DB13211')	1
DB00159	DB13410	False	True	('DB00159', 'DB13410')	1
DB00159	DB13429	False	True	('DB00159', 'DB13429')	1
DB00159	DB13435	False	True	('DB00159', 'DB13435')	1
DB00159	DB13452	False	True	('DB00159', 'DB13452')	1
DB00159	DB13575	False	True	('DB00159', 'DB13575')	1
DB00159	DB13604	False	True	('DB00159', 'DB13604')	1
