drugA	drugB	drugcomb	adv/app
DB00049	DB00325	('DB00049', 'DB00325')	1
DB00051	DB12945	('DB00051', 'DB12945')	1
DB00051	DB00575	('DB00051', 'DB00575')	1
DB00051	DB08931	('DB00051', 'DB08931')	1
DB00051	DB00559	('DB00051', 'DB00559')	1
DB00051	DB04840	('DB00051', 'DB04840')	1
DB00051	DB00590	('DB00051', 'DB00590')	1
DB00051	DB06403	('DB00051', 'DB06403')	1
DB00051	DB00820	('DB00051', 'DB00820')	1
DB00052	DB00968	('DB00052', 'DB00968')	1
DB00052	DB12945	('DB00052', 'DB12945')	1
DB00052	DB00575	('DB00052', 'DB00575')	1
DB00054	DB01626	('DB00054', 'DB01626')	1
DB00055	DB01626	('DB00055', 'DB01626')	1
DB00060	DB12945	('DB00060', 'DB12945')	1
DB00060	DB00575	('DB00060', 'DB00575')	1
DB00063	DB01626	('DB00063', 'DB01626')	1
DB00065	DB00968	('DB00065', 'DB00968')	1
DB00065	DB12945	('DB00065', 'DB12945')	1
DB00065	DB00575	('DB00065', 'DB00575')	1
DB00065	DB08931	('DB00065', 'DB08931')	1
DB00065	DB00559	('DB00065', 'DB00559')	1
DB00065	DB04840	('DB00065', 'DB04840')	1
DB00065	DB00590	('DB00065', 'DB00590')	1
DB00065	DB06403	('DB00065', 'DB06403')	1
DB00065	DB00820	('DB00065', 'DB00820')	1
DB00067	DB04840	('DB00067', 'DB04840')	1
DB00067	DB00657	('DB00067', 'DB00657')	1
DB00067	DB01116	('DB00067', 'DB01116')	1
DB00067	DB00968	('DB00067', 'DB00968')	1
DB00068	DB12945	('DB00068', 'DB12945')	1
DB00068	DB00575	('DB00068', 'DB00575')	1
DB00069	DB12945	('DB00069', 'DB12945')	1
DB00069	DB00575	('DB00069', 'DB00575')	1
DB00070	DB00217	('DB00070', 'DB00217')	1
DB00070	DB00575	('DB00070', 'DB00575')	1
DB00070	DB00968	('DB00070', 'DB00968')	1
DB00071	DB01626	('DB00071', 'DB01626')	1
DB00071	DB00559	('DB00071', 'DB00559')	1
DB00071	DB01119	('DB00071', 'DB01119')	1
DB00071	DB12945	('DB00071', 'DB12945')	1
DB00071	DB00575	('DB00071', 'DB00575')	1
DB00071	DB01180	('DB00071', 'DB01180')	1
DB00073	DB00217	('DB00073', 'DB00217')	1
DB00073	DB00325	('DB00073', 'DB00325')	1
DB00073	DB00350	('DB00073', 'DB00350')	1
DB00073	DB00457	('DB00073', 'DB00457')	1
DB00073	DB00559	('DB00073', 'DB00559')	1
DB00073	DB00575	('DB00073', 'DB00575')	1
DB00073	DB00590	('DB00073', 'DB00590')	1
DB00073	DB00657	('DB00073', 'DB00657')	1
DB00073	DB00765	('DB00073', 'DB00765')	1
DB00073	DB00820	('DB00073', 'DB00820')	1
DB00073	DB00968	('DB00073', 'DB00968')	1
DB00073	DB01018	('DB00073', 'DB01018')	1
DB00073	DB01089	('DB00073', 'DB01089')	1
DB00073	DB01116	('DB00073', 'DB01116')	1
DB00073	DB01119	('DB00073', 'DB01119')	1
DB00073	DB01170	('DB00073', 'DB01170')	1
DB00073	DB01180	('DB00073', 'DB01180')	1
DB00073	DB01275	('DB00073', 'DB01275')	1
DB00073	DB01626	('DB00073', 'DB01626')	1
DB00073	DB04840	('DB00073', 'DB04840')	1
DB00073	DB06403	('DB00073', 'DB06403')	1
DB00073	DB06762	('DB00073', 'DB06762')	1
DB00073	DB08931	('DB00073', 'DB08931')	1
DB00073	DB08932	('DB00073', 'DB08932')	1
DB00073	DB09206	('DB00073', 'DB09206')	1
DB00073	DB09242	('DB00073', 'DB09242')	1
DB00073	DB09363	('DB00073', 'DB09363')	1
DB00073	DB11738	('DB00073', 'DB11738')	1
DB00073	DB12661	('DB00073', 'DB12661')	1
DB00073	DB12945	('DB00073', 'DB12945')	1
DB00073	DB13211	('DB00073', 'DB13211')	1
DB00073	DB13410	('DB00073', 'DB13410')	1
DB00073	DB13429	('DB00073', 'DB13429')	1
DB00073	DB13435	('DB00073', 'DB13435')	1
DB00073	DB13452	('DB00073', 'DB13452')	1
DB00073	DB13575	('DB00073', 'DB13575')	1
DB00073	DB13604	('DB00073', 'DB13604')	1
DB00073	DB13631	('DB00073', 'DB13631')	1
DB00073	DB13779	('DB00073', 'DB13779')	1
DB00080	DB00325	('DB00080', 'DB00325')	1
DB00080	DB00657	('DB00080', 'DB00657')	1
DB00080	DB00820	('DB00080', 'DB00820')	1
DB00080	DB01018	('DB00080', 'DB01018')	1
DB00080	DB01170	('DB00080', 'DB01170')	1
DB00080	DB01275	('DB00080', 'DB01275')	1
DB00080	DB08932	('DB00080', 'DB08932')	1
